0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.0,1.0405598087098092e-07,7.388391173956905e-09,9.528959890633407e-08,3.6317699090018097e-09,8.354539643486847e-08,7.126662288159391e-09,9.16473204806559e-08,7.917343375901619e-10,6.707935376754539e-08,6.905201790940211e-09,8.82963735462544e-08,2.5530525107780657e-10,5.385946219300338e-08,6.7043252382005865e-09,8.518451696254492e-08,9.149187085915768e-11
0.0,7.388391173947588e-09,8.483350674735391e-10,6.3715808229013864e-09,3.6192226558112e-10,5.919072489092876e-09,7.377064219029109e-10,6.092700987359894e-09,9.043757799359145e-11,4.7430349382649295e-09,6.689299509152895e-10,5.855799273758754e-09,3.0115280113961666e-11,3.8013148438258386e-09,6.188902692345691e-10,5.646423372341121e-09,1.0937843900107226e-11
0.0,9.528959890633401e-08,6.371580822901188e-09,8.780937480171067e-08,3.1856409857329353e-09,7.652183788974787e-08,6.217503481070586e-09,8.452784771012355e-08,6.769422461968872e-10,6.145062851241601e-08,6.068033061781957e-09,8.147773261567036e-08,2.1674900092072708e-10,4.934785764481002e-08,5.922924276758007e-09,7.862747582820067e-08,7.743412223464038e-11
0.0,3.6317699090018262e-09,3.619222655811297e-10,3.1856409857329287e-09,2.02204690934658e-11,2.913652860129999e-09,3.5321737102417126e-10,2.987985784942621e-09,1.729122848778286e-12,2.3375328831287357e-09,3.4472586481442864e-10,2.8052154454753073e-09,4.874301837749486e-13,1.8753316793111265e-09,3.364423194193892e-10,2.636010781572116e-09,1.670100082411638e-13
0.0,8.354539643489557e-08,5.919072489179273e-09,7.65218378897478e-08,2.913652860130039e-09,6.707917953469604e-08,5.7145490420277106e-09,7.359785839839578e-08,6.349081354159406e-10,5.385918674390456e-08,5.538923466876295e-09,7.090724724283282e-08,2.047118159341505e-10,4.3245128326072614e-08,5.3789003672827695e-09,6.840834232635765e-08,7.335759243722983e-11
0.0,7.126662288159814e-09,7.377064219096872e-10,6.217503481070682e-09,3.5321737102416397e-10,5.714549041988959e-09,6.675875099062114e-10,5.948724012937023e-09,8.82066933607124e-11,4.582578861088334e-09,6.17060891052658e-10,5.719199134927065e-09,2.9366850064681493e-11,3.675083199348299e-09,5.774103729433102e-10,5.51581115797594e-09,1.0665111422047817e-11
0.0,9.164732048065591e-08,6.092700987359953e-09,8.452784771012367e-08,2.9879857849426117e-09,7.359785839839591e-08,5.948724012937016e-09,8.138111450669328e-08,6.264036112842041e-10,5.910327011286089e-08,5.808679372342443e-09,7.844959622234286e-08,1.9980646421940064e-10,4.7463391560426904e-08,5.672413434327895e-09,7.570589951529799e-08,7.126209402487684e-11
0.0,7.917343375901447e-10,9.043757799359763e-11,6.769422461968802e-10,1.7291228487781174e-12,6.349081354159172e-10,8.820669336071305e-11,6.264036112842028e-10,8.88787286821224e-15,5.091461676630215e-10,8.603120963311443e-11,5.799143042013082e-10,1.041161656801286e-15,4.0829517003109177e-10,8.390974142573082e-11,5.371277515564764e-10,3.2380247800325954e-16
0.0,6.70793537675437e-08,4.743034938310669e-09,6.14506285124158e-08,2.3375328831287506e-09,5.385918674390075e-08,4.582578861110251e-09,5.910327011286088e-08,5.091461676630466e-10,4.3245019124716076e-08,4.443177537600207e-09,5.694285627293882e-08,1.6414444163801752e-10,3.472297682380252e-08,4.31564727533702e-09,5.493615869382373e-08,5.881765536958389e-11
0.0,6.905201790939788e-09,6.689299509195246e-10,6.068033061781848e-09,3.4472586481442616e-10,5.538923466786721e-09,6.17060891055305e-10,5.808679372342524e-09,8.603120963311621e-11,4.443177537557008e-09,5.76756066622378e-10,5.5861721086961215e-09,2.8637096976570408e-11,3.564348533987579e-09,5.436669579157681e-10,5.388529013303213e-09,1.0399199848518454e-11
