0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.0,8.968132573390887e-09,1.2817180616447887e-10,8.822008614947899e-09,1.0727816625376245e-09,7.212975270098334e-09,1.2535606641360722e-10,8.752836847656648e-09,2.2862446296743166e-10,5.801333137432449e-09,1.2283228613993866e-10,8.685092307633076e-09,6.63725294916864e-11,4.665967991476241e-09,1.2046029401578162e-10,8.618523741229611e-09,2.2254207446061442e-11
0.0,1.281718061577026e-10,5.500745387345459e-12,1.2158496613800117e-10,1.6506263669439474e-11,1.0295926775775001e-10,4.72341651858529e-12,1.1982822145079117e-10,4.1274043810553156e-12,8.271440470131386e-11,4.248206412457246e-12,1.1831151071909425e-10,1.3130339298813858e-12,6.645525293841595e-11,3.908170112897493e-12,1.1693972033350124e-10,4.632039527054353e-13
0.0,8.822008614947905e-09,1.2158496613792342e-10,8.68421467651049e-09,1.055651474494052e-09,7.095598710278032e-09,1.1950499108047484e-10,8.617327155592612e-09,2.2457649647660338e-10,5.707037117366829e-09,1.1746474591393828e-10,8.551509094700075e-09,6.511947662835918e-11,4.590208682731866e-09,1.1546304239935589e-10,8.486649133821209e-09,2.181817941033708e-11
0.0,1.0727816625376237e-09,1.650626366942995e-11,1.0556514744940523e-09,9.122533988076e-11,8.628051743999342e-10,1.6239699536531073e-11,1.0472057322797873e-09,1.374332219758926e-11,6.939276071450674e-10,1.59774532329744e-11,1.038838113788893e-09,3.1988434362043905e-12,5.581046174903392e-10,1.5719454127761703e-11,1.0305476237170013e-09,9.461473896859969e-13
0.0,7.212975270125439e-09,1.0295926790174562e-10,7.095598710278456e-09,8.628051743999432e-10,5.801332555142191e-09,1.0073751440049589e-10,7.0399830391224766e-09,1.8386126099995502e-10,4.6659670617885484e-09,9.872489433765729e-11,6.9855097691208876e-09,5.337451395327634e-11,3.752805336649302e-09,9.68273988293661e-11,6.931979174955266e-09,1.7895531049988795e-11
0.0,1.253560664142425e-10,4.723416521973422e-12,1.195049910804153e-10,1.623969953653602e-11,1.0073751432648638e-10,4.246058201801254e-12,1.1780464708912535e-10,4.060425011663217e-12,8.095632324467204e-11,3.90519899813948e-12,1.1632819904665656e-10,1.2916376115576549e-12,6.506130517189279e-11,3.640724357875845e-12,1.149891101680527e-10,4.556363584829228e-13
0.0,8.752836847656681e-09,1.198282214503999e-10,8.617327155592649e-09,1.047205732279786e-09,7.03998303912251e-09,1.1780464708894006e-10,8.551326264425334e-09,2.2258193450393845e-10,5.662320711328569e-09,1.158174940654462e-10,8.486307733616912e-09,6.450241667455021e-11,4.554255447430959e-09,1.1386596121249989e-10,8.422185852678586e-09,2.1603535074016264e-11
0.0,2.286244629674313e-10,4.127404381050575e-12,2.245764964766044e-10,1.3743322197589269e-11,1.8386126099995096e-10,4.060425011660835e-12,2.2258193450393977e-10,1.3242447758184267e-12,1.478624129897682e-10,3.994533956491055e-12,2.2060670581597578e-10,2.1321129193404553e-13,1.1891191219127375e-10,3.929713508579654e-12,2.1865060304638039e-10,5.018153652549763e-14
0.0,5.801333137425673e-09,8.271440475382991e-11,5.707037117367219e-09,6.939276071450703e-10,4.665967061796595e-09,8.095632327177709e-11,5.6623207113286316e-09,1.4786241298976867e-10,3.752804965033714e-09,7.935035405252848e-11,5.618518761653625e-09,4.2921956665509826e-11,3.0183577467987796e-09,7.783202884036855e-11,5.5754724915422655e-09,1.4390538995351887e-11
0.0,1.2283228613983278e-10,4.2482064196570264e-12,1.1746474591390023e-10,1.5977453232975693e-11,9.872489433696907e-11,3.90519900295698e-12,1.1581749406550824e-10,3.994533956491683e-12,7.935035405358727e-11,3.639637351944894e-12,1.1437968280445908e-10,1.2705902746202675e-12,6.37791405184899e-11,3.423143113908494e-12,1.13072225853079e-10,4.4819248951859913e-13
0.0,8.68509230763311e-09,1.1831151071876048e-10,8.5515090947001e-09,1.0388381137888937e-09,6.985509769120815e-09,1.1632819904647995e-10,8.486307733616924e-09,2.2060670581597555e-10,5.618518761653607e-09,1.1437968280445743e-10,8.4220254122663e-09,6.389157704654509e-11,4.519034237102397e-09,1.1246527311808208e-10,8.358592749349708e-09,2.1391104726040807e-11
0.0,6.637252949168646e-11,1.313033929889618e-12,6.511947662835961e-11,3.198843436204433e-12,5.337451395327682e-11,1.2916376115617512e-12,6.450241667455068e-11,2.1321129193407526e-13,4.292195666551013e-11,1.2705902746208117e-12,6.38915770465448e-11,2.2111369199713842e-14,3.451636912247799e-11,1.2498862216736893e-12,6.328689074022383e-11,3.6440496627536095e-15
0.0,4.665967991474547e-09,6.645525300808441e-11,4.590208682732034e-09,5.581046174903432e-10,3.752805336653749e-09,6.506130520815639e-11,4.55425544743102e-09,1.1891191219127577e-10,3.0183577467996266e-09,6.377914053183066e-11,4.5190342371024915e-09,3.4516369122479514e-11,2.4276481050564846e-09,6.256391758557221e-11,4.4844188185533106e-09,1.1572029770768672e-11
0.0,1.2046029401609925e-10,3.9081701193561196e-12,1.1546304239918549e-10,1.5719454127762527e-11,9.682739885948871e-11,3.6407243583787705e-12,1.1386596121245439e-10,3.929713508580256e-12,7.783202885760037e-11,3.4231431112085765e-12,1.124652731180494e-10,1.2498862216722963e-12,6.256391757571222e-11,3.2397700151366714e-12,1.1118843232235935e-10,4.408703214861704e-13
0.0,8.618523741229634e-09,1.169397203332018e-10,8.48664913382119e-09,1.0305476237170023e-09,6.931979174955238e-09,1.1498911016793731e-10,8.422185852678584e-09,2.186506030463803e-10,5.5754724915422325e-09,1.130722258530087e-10,8.358592749349721e-09,6.32868907402233e-11,4.484418818553304e-09,1.1118843232241766e-10,8.29581167374542e-09,2.1180864365678408e-11
0.0,2.2254207446061258e-11,4.632039527058675e-13,2.181817941033668e-11,9.461473896860056e-13,1.789553104999102e-11,4.5563635848379e-13,2.1603535074015065e-11,5.018153652548778e-14,1.4390538995351716e-11,4.481924895183066e-13,2.1391104726040322e-11,3.644049662745427e-15,1.1572029770768578e-11,4.408703214861675e-13,2.118086436567731e-11,3.991720286718192e-16
1.0,1.2817180616109074e-10,5.500745383957327e-12,1.2158496613799786e-10,1.6506263669439432e-11,1.0295926774927969e-10,4.723416517526499e-12,1.1982822145079365e-10,4.127404381055303e-12,8.27144047021609e-11,4.248206412351367e-12,1.1831151071909425e-10,1.3130339298813907e-12,6.645525293926299e-11,3.908170112685735e-12,1.1693972033350082e-10,4.632039527054345e-13
1.0,5.5007453975098545e-12,2.7763817754425466e-12,2.659343529303422e-12,2.8772868441767874e-13,4.313665073198917e-12,1.9461454758621895e-12,2.4154059494521566e-12,8.24400070395911e-14,3.3886480267994326e-12,1.4922977491398835e-12,2.2629819854166794e-12,2.8011014732591677e-14,2.665844015636409e-12,1.2044372408161114e-12,2.1537684519160568e-12,1.0222602082938164e-14
