0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.0,2.1418926607836836e-07,2.4175929448482715e-08,1.8153728923839653e-07,5.29390176425908e-09,1.7174066247863025e-07,2.3110084534473118e-08,1.6921286356256932e-07,1.21613856293365e-09,1.3771172842065409e-07,2.2222623481835415e-08,1.584723012040101e-07,4.0012380229831806e-10,1.1042888819928399e-07,2.1427465557795406e-08,1.4899134291866008e-07,1.4465950753964338e-10
0.0,2.4175929448482715e-08,3.784706315210681e-09,1.937505339209361e-08,8.996827297632434e-10,1.9337962197197984e-08,3.2967804796658665e-09,1.8070771304910672e-08,2.296481900593336e-10,1.5472706589757265e-08,2.9900175255849077e-09,1.6995467438036505e-08,7.713316554561377e-11,1.2382795423643988e-08,2.7644945570809726e-09,1.6075899354040736e-08,2.8123099666828046e-11
0.0,1.8153728923839693e-07,1.937505339209291e-08,1.552608873511575e-07,3.941022481072504e-09,1.4560809486855927e-07,1.879807901367792e-08,1.4474541182501102e-07,8.611870034358306e-10,1.1679049055338812e-07,1.8242965763124688e-08,1.3548341084289967e-07,2.801396115028411e-10,9.367672960916353e-08,1.7708256253058913e-08,1.2725578580067004e-07,1.0079352973133528e-10
0.0,5.2939017642589835e-09,8.996827297632523e-10,3.94102248107253e-09,1.0735401542907543e-11,4.238129434230865e-09,8.713737237850476e-10,3.4197106961443757e-09,9.450430204732843e-13,3.3929188321191063e-09,8.439790727689347e-10,2.9781543013115414e-09,2.8648190457384157e-13,2.7162743997365396e-09,8.174679694518803e-10,2.6028570867065307e-09,1.007071210340424e-13
0.0,1.7174066247863703e-07,1.933796219733012e-08,1.456080948685593e-07,4.238129434230838e-09,1.3771079787652882e-07,1.850662386751262e-08,1.3572297055230786e-07,9.73047368747942e-10,1.1042742413421342e-07,1.7803862975789626e-08,1.2710659009369314e-07,3.201057891176081e-10,8.855170105915055e-08,1.7171245198566444e-08,1.1949992594427794e-07,1.1572431115640559e-10
0.0,2.311008453447354e-08,3.2967804796537963e-09,1.879807901367836e-08,8.713737237850524e-10,1.8506623867447186e-08,2.9815054694179807e-09,1.7544799567020122e-08,2.2221452951968136e-10,1.4821608522496488e-08,2.7530259651857944e-09,1.650654181854987e-08,7.461914695670909e-11,1.1871401735215876e-08,2.5725327835654855e-09,1.5616513491746632e-08,2.7203770818755893e-11
0.0,1.692128635625694e-07,1.8070771304910526e-08,1.447454118250112e-07,3.4197106961443976e-09,1.3572297055230794e-07,1.7544799567020082e-08,1.3488397867493907e-07,7.264058071677678e-10,1.0886177334513354e-07,1.703710036311758e-08,1.261809055444322e-07,2.34748038328341e-10,8.731714153236245e-08,1.654674057851152e-08,1.1843998480430526e-07,8.422527330452084e-11
0.0,1.2161385629336474e-09,2.2964819005934373e-10,8.611870034358993e-10,9.45043020473868e-13,9.730473687479237e-10,2.2221452951968475e-10,7.264058071677474e-10,1.6513263830322163e-15,7.785476686824281e-10,2.1502355428621472e-10,6.136659508822276e-10,2.1795067822333792e-16,6.229264012458866e-10,2.080672717883828e-10,5.192169890357523e-10,7.270867139288361e-17
0.0,1.3771172842065324e-07,1.547270658982884e-08,1.1679049055338828e-07,3.3929188321190956e-09,1.1042742413421257e-07,1.482160852252931e-08,1.0886177334513359e-07,7.78547668682399e-10,8.85511229789033e-08,1.4264581946534031e-08,1.0194941027025853e-07,2.560901354954646e-10,7.101017870489807e-08,1.3761058094281582e-08,9.584646650903021e-08,9.257684078118243e-11
0.0,2.2222623481835204e-08,2.9900175256001543e-09,1.824296576312477e-08,8.439790727689354e-10,1.7803862975784014e-08,2.7530259652047467e-09,1.7037100363117507e-08,2.15023554286219e-10,1.4264581946536413e-08,2.568502585147507e-09,1.6033918594373465e-08,7.218748960404862e-11,1.1429525808386448e-08,2.4164403386556783e-09,1.5172088982279267e-08,2.6314605452808826e-11
