0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.0,6.413692314305837e-09,2.7377783478891254e-10,9.941607467854924e-09,5.797489933570343e-10,8.205803627852564e-09,2.689729475346168e-10,9.81306367502287e-09,9.604644946464881e-11,6.597462187596905e-09,2.642543196759148e-10,9.686870503903782e-09,2.6566134136030985e-11,5.304357697324248e-09,2.5962017290037534e-10,9.562937102910398e-09,8.828512381408409e-12
0.0,2.7377783478891357e-10,1.4226971556109754e-11,4.177839989482951e-10,3.2593361545526346e-11,3.4834314419997853e-10,1.381881184172687e-11,4.1103593324285584e-10,7.205543006042153e-12,2.800147786540067e-10,1.3453060277726897e-11,4.04656496487153e-10,2.2607236827443418e-12,2.2508995172132489e-10,1.31147647355121e-11,3.98566107952532e-10,7.978327136891468e-13
0.0,9.941607467854926e-09,4.1778399894829673e-10,1.5236356323092948e-08,9.829145030390397e-10,1.2580145945358468e-08,4.103405656339477e-10,1.5037950398146026e-08,1.796604359330235e-10,1.0114466331418383e-08,4.0303419864080546e-10,1.4843678365593969e-08,5.198083200277129e-11,8.132056722628313e-09,3.9586210783189893e-10,1.4653305329565664e-08,1.765125513467456e-11
0.0,5.797489933570348e-10,3.2593361545526385e-11,9.829145030390378e-10,3.353168408189968e-11,8.146807221495012e-10,3.2019570343842735e-11,9.680656930092675e-10,3.357333394390459e-12,6.549004981151333e-10,3.145592537335465e-11,9.534856245442432e-10,7.498368981578496e-13,5.264574478534088e-10,3.0902246198923795e-11,9.391682723894714e-10,2.282494334324476e-13
0.0,8.20580362785256e-09,3.4834314419976015e-10,1.258014594535848e-08,8.146807221495008e-10,1.0391059991076868e-08,3.419965170429063e-10,1.2414723090925327e-08,1.497725201784864e-10,8.354371609038446e-09,3.35790570704908e-10,1.2253025096768593e-08,4.3461336535825235e-11,6.716884769497992e-09,3.2971422266657374e-10,1.209476809738506e-08,1.4780839667937487e-11
0.0,2.689729475346177e-10,1.3818811841723562e-11,4.103405656339481e-10,3.201957034384274e-11,3.419965170430122e-10,1.3452122483768322e-11,4.0373977728744104e-10,7.076513746315022e-12,2.749169692502084e-10,1.3113295367303414e-11,3.974928671192946e-10,2.2198941327641718e-12,2.209950274392593e-10,1.2794972276681798e-11,3.9152526108002105e-10,7.833594256678959e-13
0.0,9.813063675022872e-09,4.1103593324285956e-10,1.5037950398146016e-08,9.680656930092673e-10,1.2414723090925349e-08,4.0373977728744445e-10,1.4842859199418023e-08,1.7641610979129813e-10,9.9814901429945e-09,3.965764616127703e-10,1.4651729109123719e-08,5.096394806938766e-11,8.025162844627102e-09,3.895434162509991e-10,1.446435565837192e-08,1.7292188583363384e-11
0.0,9.604644946464833e-11,7.205543006042155e-12,1.7966043593302504e-10,3.3573333943905152e-12,1.4977252017848807e-10,7.076513746315055e-12,1.764161097912995e-10,1.2336242224102477e-13,1.2037521719536595e-10,6.949800954457281e-12,1.732364867392761e-10,1.4090354721067454e-14,9.674801830963721e-11,6.8253629322278185e-12,1.7012014313296976e-10,3.324214707997914e-15
0.0,6.597462187596921e-09,2.800147786539008e-10,1.0114466331418396e-08,6.549004981151307e-10,8.35437160903843e-09,2.749169692501439e-10,9.981490142994516e-09,1.203752171953651e-10,6.7168832153517234e-09,2.6993094131553043e-10,9.851503978802539e-09,3.492754093333798e-11,5.400350843403869e-09,2.6504845568931925e-10,9.724281000706156e-09,1.1878017279680054e-11
0.0,2.6425431967591467e-10,1.3453060277697119e-11,4.0303419864080525e-10,3.145592537335475e-11,3.3579057070499155e-10,1.311329536732823e-11,3.965764616127706e-10,6.9498009544573426e-12,2.6993094131559e-10,1.2794377194917203e-11,3.904587882957323e-10,2.1798033086540657e-12,2.1698902343403273e-10,1.2491958595676728e-11,3.8461114352892795e-10,7.691490567682075e-13
0.0,9.686870503903794e-09,4.0465649648715775e-10,1.4843678365593957e-08,9.534856245442438e-10,1.2253025096768596e-08,3.974928671192944e-10,1.4651729109123725e-08,1.7323648673927904e-10,9.851503978802528e-09,3.904587882957335e-10,1.4463595750804166e-08,4.996827770869768e-11,7.920669149699957e-09,3.835518097531589e-10,1.4279096042987065e-08,1.6940781377547462e-11
0.0,2.656613413603104e-11,2.260723682744376e-12,5.198083200277151e-11,7.498368981577878e-13,4.3461336535825874e-11,2.2198941327641387e-12,5.096394806938867e-11,1.409035472100733e-14,3.4927540933338e-11,2.1798033086540285e-12,4.996827770869767e-11,5.423434579409313e-16,2.8069390090368496e-11,2.140437820136553e-12,4.8993349029731163e-11,6.497391764953044e-17
0.0,5.304357697324253e-09,2.2508995172124051e-10,8.13205672262831e-09,5.264574478534079e-10,6.716884769497989e-09,2.2099502743923116e-10,8.025162844627102e-09,9.674801830963757e-11,5.400350843403867e-09,2.1698902343400875e-10,7.920669149699953e-09,2.8069390090368923e-11,4.341864051156733e-09,2.1306577683120238e-10,7.818394363472461e-09,9.5452833457698e-12
0.0,2.596201729003745e-10,1.3114764735431036e-11,3.9586210783190275e-10,3.090224619892392e-11,3.2971422266661096e-10,1.279497227665781e-11,3.8954341625099766e-10,6.825362932227783e-12,2.650484556893325e-10,1.2491958595645295e-11,3.835518097531539e-10,2.1404378201366127e-12,2.130657768312061e-10,1.2202855038261673e-11,3.778213901036011e-10,7.551968241470876e-13
0.0,9.562937102910391e-09,3.9856610795253007e-10,1.465330532956567e-08,9.391682723894737e-10,1.209476809738505e-08,3.9152526108002126e-10,1.4464355658371918e-08,1.7012014313296997e-10,9.724281000706153e-09,3.8461114352892795e-10,1.427909604298708e-08,4.899334902972943e-11,7.818394363472463e-09,3.7782139010359955e-10,1.4097361325161595e-08,1.659686213636505e-11
0.0,8.828512381407894e-12,7.978327136891591e-13,1.765125513467487e-11,2.282494334323932e-13,1.47808396679382e-11,7.833594256679583e-13,1.7292188583362428e-11,3.324214707953185e-15,1.1878017279679906e-11,7.691490567682049e-13,1.6940781377546635e-11,6.49739176534569e-17,9.545283345769805e-12,7.551968241470475e-13,1.659686213636524e-11,2.5874653476649925e-18
1.0,2.737778347889143e-10,1.4226971556103136e-11,4.177839989482951e-10,3.2593361545526385e-11,3.4834314419999176e-10,1.381881184167393e-11,4.110359332428569e-10,7.2055430060420755e-12,2.8001477865399676e-10,1.3453060277733515e-11,4.046564964871536e-10,2.2607236827443353e-12,2.2508995172132158e-10,1.3114764735490593e-11,3.9856610795253157e-10,7.978327136891695e-13
1.0,1.4226971556096519e-11,2.1287767093186648e-11,2.2852081721236234e-11,2.2668324915536274e-12,3.501130760515011e-11,1.4902235385432405e-11,2.097462268187225e-11,6.284856076908864e-13,2.7538537705564556e-11,1.142438761512979e-11,1.9791710081277896e-11,2.128728196054028e-13,2.1691281468005363e-11,9.223552911448684e-12,1.8936385342222884e-11,7.776759590606849e-14
1.0,4.1778399894829466e-10,2.285208172013112e-11,6.183638702541215e-10,5.808501230469193e-11,5.190572161644025e-10,2.218292805338433e-11,6.0731657792024e-10,1.4090670367052336e-11,4.172124864072268e-10,2.1549781268003406e-11,5.97224148762713e-10,4.561683008999057e-12,3.3535194552257876e-10,2.0948353243933432e-11,5.878335438114341e-10,1.632646151163458e-12
1.0,3.259336154552642e-11,2.266832491571391e-12,5.8085012304692146e-11,1.841389354191128e-12,4.844050563831547e-11,2.225122646102529e-12,5.7034662859359734e-11,2.241825807880536e-13,3.893380563154074e-11,2.1842050734732225e-12,5.60100421195968e-11,5.883612748492625e-14,3.129285470903939e-11,2.144060260080181e-12,5.5010066836329746e-11,1.9446770831576722e-14
1.0,3.483431441999388e-10,3.5011307465389677e-11,5.190572161641626e-10,4.8440505638327605e-11,4.49418104074449e-10,3.0478109390514444e-11,5.080242844977103e-10,1.1799755779638272e-11,3.6081498494745986e-10,2.7617886949023165e-11,4.985345043547425e-10,3.826341625832433e-12,2.8970511206145295e-10,2.5536037114085994e-11,4.899942901677694e-10,1.3705498982309725e-12
1.0,1.3818811841660696e-11,1.490223537420922e-11,2.2182928054085778e-11,2.225122646088959e-12,3.0478109471829607e-11,1.1388427074029048e-11,2.0439786287606048e-11,6.169876786978678e-13,2.4144700490126568e-11,9.17674132163415e-12,1.9321525942258767e-11,2.0897304350775443e-13,1.9139036620380584e-11,7.652100509661458e-12,1.8505789656947762e-11,7.634166671531867e-14
1.0,4.110359332428575e-10,2.0974622681762647e-11,6.073165779202525e-10,5.7034662859359514e-11,5.08024284498114e-10,2.043978628737692e-11,5.969234864648187e-10,1.3804557109789286e-11,4.0837243308972657e-10,1.9925167298132137e-11,5.873136880043848e-10,4.4651140913960345e-12,3.282686195547781e-10,1.942939649926951e-11,5.783031350850515e-10,1.5974080806735513e-12
1.0,7.2055430060421304e-12,6.284856076997975e-13,1.4090670367052302e-11,2.2418258078805546e-13,1.1799755779632098e-11,6.169876787046595e-13,1.3804557109789421e-11,7.62039281331487e-15,9.48254937493296e-12,6.057008721459982e-13,1.3524978694569392e-11,9.79574651997729e-16,7.620391241024224e-12,5.946212961303946e-13,1.3251765152843465e-11,2.595080366560081e-16
1.0,2.800147786539438e-10,2.7538537676765435e-11,4.1721248640695384e-10,3.893380563154174e-11,3.6081498495614195e-10,2.4144700471491843e-11,4.0837243308959587e-10,9.482549374933514e-12,2.8970442757984575e-10,2.195264236745635e-11,4.007597973594609e-10,3.074762474060729e-12,2.32625718642541e-10,2.033874152006941e-11,3.939046693843336e-10,1.1013144447659073e-12
1.0,1.3453060277607783e-11,1.142438762465891e-11,2.1549781267651854e-11,2.1842050734670938e-12,2.761788696866374e-11,9.176741323539974e-12,1.992516729770614e-11,6.057008721429358e-13,2.1952642365391706e-11,7.635993483258294e-12,1.8866284603985475e-11,2.051448695355484e-13,1.7455901407673628e-11,6.512279090617522e-12,1.8087551276104695e-11,7.494192528227537e-14
1.0,4.0465649648715755e-10,1.9791710081081027e-11,5.972241487627221e-10,5.6010042119596675e-11,4.985345043548616e-10,1.9321525941969254e-11,5.873136880043803e-10,1.3524978694569356e-11,4.007597973594477e-10,1.8866284604290498e-11,5.780763607102463e-10,4.370741751277965e-12,3.2216167602671123e-10,1.8425244986556786e-11,5.693685714692966e-10,1.5629710528208539e-12
1.0,2.2607236827444197e-12,2.1287281961321678e-13,4.561683008999316e-12,5.883612748492802e-14,3.826341625828756e-12,2.089730435135149e-13,4.465114091396055e-12,9.795746519970004e-16,3.0747624740599677e-12,2.0514486953843536e-13,4.370741751277931e-12,3.5240623334572066e-17,2.4708105185780572e-12,2.0138698001287376e-13,4.2785121515060416e-12,4.600893725596658e-18
1.0,2.2508995172134474e-10,2.1691281427136023e-11,3.353519455226251e-10,3.1292854709042214e-11,2.8970511205128855e-10,1.9139036601110585e-11,3.282686195549303e-10,7.620391241025652e-12,2.3262571864243512e-10,1.7455901410770592e-11,3.221616760268382e-10,2.4708105185795864e-12,1.868044561557805e-10,1.6203386468086448e-11,3.1665906276147213e-10,8.849685730886901e-13
1.0,1.3114764735424418e-11,9.223552958617832e-12,2.094835324374897e-11,2.144060260091381e-12,2.5536037102306942e-11,7.652100544045702e-12,1.942939649896883e-11,5.946212961359971e-13,2.0338741517104794e-11,6.512279112587439e-12,1.8425244986348337e-11,2.013869800164983e-13,1.6203386469568755e-11,5.647048242586305e-12,1.7681161802055443e-11,7.356788986936885e-14
1.0,3.9856610795253033e-10,1.8936385342102115e-11,5.878335438114374e-10,5.501006683632989e-11,4.89994290167699e-10,1.850578965673807e-11,5.783031350850519e-10,1.3251765152843497e-11,3.939046693843621e-10,1.8087551276413026e-11,5.69368571469297e-10,4.278512151506069e-12,3.16659062761291e-10,1.7681161802258102e-11,5.609126326033986e-10,1.529315864291837e-12
1.0,7.978327136891602e-13,7.776759591767064e-14,1.632646151163477e-12,1.9446770831571715e-14,1.3705498982296311e-12,7.634166671998489e-14,1.5974080806736129e-12,2.5950803665091046e-16,1.1013144447630864e-12,7.494192528439267e-14,1.5629710528208838e-12,4.60089372245131e-18,8.849685730858869e-13,7.356788986606088e-14,1.5293158642919127e-12,1.728136507379021e-19
2.0,9.941607467854919e-09,4.1778399894829735e-10,1.5236356323092935e-08,9.829145030390393e-10,1.2580145945358478e-08,4.1034056563394935e-10,1.5037950398146003e-08,1.7966043593302556e-10,1.01144663314184e-08,4.0303419864080494e-10,1.4843678365593972e-08,5.1980832002771184e-11,8.132056722628303e-09,3.9586210783189944e-10,1.4653305329565644e-08,1.765125513467482e-11
2.0,4.177839989482959e-10,2.2852081720845805e-11,6.18363870254119e-10,5.808501230469205e-11,5.190572161643462e-10,2.2182928053366958e-11,6.073165779202409e-10,1.4090670367052361e-11,4.172124864072847e-10,2.1549781267837142e-11,5.97224148762715e-10,4.5616830089991084e-12,3.35351945522458e-10,2.094835324393095e-11,5.878335438114308e-10,1.6326461511635032e-12
2.0,1.5236356323092935e-08,6.183638702541045e-10,2.291930541157232e-08,1.685460635818346e-09,1.8928400043810438e-08,6.070687819798047e-10,2.262100806713498e-08,3.4045898502298756e-10,1.521866681769623e-08,5.95992738917139e-10,2.2330223233195298e-08,1.0265980354159331e-10,1.2236000694894317e-08,5.851308113801472e-10,2.204629495909148e-08,3.554254737034656e-11
2.0,9.829145030390383e-10,5.8085012304691765e-11,1.6854606358183498e-09,5.6876731834271723e-11,1.3988346398674617e-09,5.705289384122061e-11,1.6589014119939536e-09,6.0702553991389795e-12,1.1244462674820146e-09,5.603922136167608e-11,1.632857104092417e-09,1.4312123795827176e-12,9.038807151954927e-10,5.504366272194829e-11,1.607314615818377e-09,4.481518797824345e-13
2.0,1.2580145945358495e-08,5.190572161644339e-10,1.8928400043810467e-08,1.398834639867466e-09,1.5643151652508054e-08,5.09285370800673e-10,1.8678085194715802e-08,2.8418002072319515e-10,1.2577129978731094e-08,4.997265583153208e-10,1.843492223321791e-08,8.59155229064045e-11,1.0112046877498704e-08,4.903730397009177e-10,1.8198072535007806e-08,2.978488022304346e-11
2.0,4.103405656339475e-10,2.218292805391207e-11,6.070687819798171e-10,5.705289384122023e-11,5.092853708006367e-10,2.1548497153249785e-11,5.963003005557444e-10,1.383679434059725e-11,4.093628549897499e-10,2.0946048604113688e-11,5.864450151843864e-10,4.4789444376288516e-12,3.290463258403819e-10,2.037217913850152e-11,5.772645029947163e-10,1.6029319904701094e-12
2.0,1.5037950398146033e-08,6.0731657792024e-10,2.262100806713498e-08,1.658901411993956e-09,1.8678085194715812e-08,5.963003005557431e-10,2.2328224882965976e-08,3.3409630298423146e-10,1.5017466148689693e-08,5.854935297096129e-10,2.2042513632169036e-08,1.0060293592068034e-10,1.2074277145820395e-08,5.748918334552372e-10,2.1763318385687946e-08,3.480628840924092e-11
2.0,1.7966043593302752e-10,1.4090670367052313e-11,3.4045898502298364e-10,6.070255399138925e-12,2.8418002072319536e-10,1.3836794340597409e-11,3.3409630298423e-10,2.185096958709633e-13,2.2839330855081597e-10,1.3587505605323445e-11,3.278656584448724e-10,2.5924124308769064e-14,1.8355797680638752e-10,1.3342721025291953e-11,3.2176400081486174e-10,6.353102415315655e-15
2.0,1.0114466331418383e-08,4.1721248640710604e-10,1.5218666817696217e-08,1.1244462674820133e-09,1.2577129978731088e-08,4.093628549896589e-10,1.5017466148689644e-08,2.283933085508159e-10,1.0112043668859364e-08,4.0168387994498393e-10,1.4822001634872711e-08,6.904393134223737e-11,8.130112481136044e-09,3.9416943669280006e-10,1.4631603451657837e-08,2.3934927532734244e-11
2.0,4.030341986408034e-10,2.154978126705463e-11,5.959927389171374e-10,5.603922136167591e-11,4.997265583152588e-10,2.094604860381094e-11,5.854935297096079e-10,1.3587505605323408e-11,4.0168387994505093e-10,2.0371138596382566e-11,5.758683050384145e-10,4.397709456218899e-12,3.2287742701846797e-10,1.9822252001556156e-11,5.668921656659126e-10,1.5737594155620974e-12
2.0,1.4843678365593959e-08,5.972241487627169e-10,2.233022323319532e-08,1.6328571040924153e-09,1.8434922233217923e-08,5.864450151843773e-10,2.2042513632169012e-08,3.2786565844487246e-10,1.4822001634872716e-08,5.758683050384178e-10,2.1761524477587418e-08,9.859012266029628e-11,1.1917154340611393e-08,5.654898870221572e-10,2.148677146161756e-08,3.408604635633973e-11
2.0,5.1980832002772134e-11,4.5616830089992555e-12,1.026598035415913e-10,1.4312123795827012e-12,8.591552290640427e-11,4.478944437628891e-12,1.006029359206807e-10,2.5924124308776555e-14,6.904393134223746e-11,4.3977094562189926e-12,9.859012266029922e-11,9.786327889034315e-16,5.548548946670501e-11,4.317950686282031e-12,9.662035410513565e-11,1.2049790080844523e-16
2.0,8.132056722628311e-09,3.353519455227624e-10,1.2236000694894333e-08,9.0388071519549e-10,1.011204687749865e-08,3.2904632584055724e-10,1.2074277145820414e-08,1.8355797680638597e-10,8.130112481136022e-09,3.2287742701858625e-10,1.1917154340611403e-08,5.5485489466703994e-11,6.53663542800897e-09,3.168403998660464e-10,1.1764097261703716e-08,1.9233946441459764e-11
2.0,3.9586210783189986e-10,2.094835324350578e-11,5.851308113801485e-10,5.504366272194797e-11,4.903730397007928e-10,2.0372179138174784e-11,5.748918334552359e-10,1.3342721025291787e-11,3.941694366928679e-10,1.9822252001558224e-11,5.654898870221523e-10,4.3179506862819985e-12,3.168403998659695e-10,1.929621211407636e-11,5.567126104668761e-10,1.545118540579775e-12
2.0,1.4653305329565657e-08,5.878335438114281e-10,2.2046294959091474e-08,1.6073146158183719e-09,1.8198072535007792e-08,5.772645029947184e-10,2.176331838568797e-08,3.217640008148593e-10,1.4631603451657845e-08,5.66892165665918e-10,2.148677146161756e-08,9.66203541051356e-11,1.1764097261703703e-08,5.567126104668807e-10,2.1216223733428717e-08,3.33814550275747e-11
2.0,1.765125513467488e-11,1.6326461511634232e-12,3.554254737034678e-11,4.481518797824433e-13,2.9784880223043325e-11,1.6029319904700912e-12,3.480628840924187e-11,6.3531024153204765e-15,2.3934927532733343e-11,1.5737594155621128e-12,3.4086046356339915e-11,1.2049790081058177e-16,1.9233946441459453e-11,1.545118540579838e-12,3.338145502757544e-11,4.716177675803844e-18
3.0,5.797489933570352e-10,3.2593361545526405e-11,9.829145030390385e-10,3.35316840818997e-11,8.146807221495007e-10,3.2019570343842754e-11,9.680656930092657e-10,3.357333394390456e-12,6.549004981151351e-10,3.1455925373354645e-11,9.53485624544246e-10,7.49836898157848e-13,5.264574478534066e-10,3.090224619892384e-11,9.39168272389472e-10,2.282494334324452e-13
