-2.	-2.	2.839346328782781e-30
-2.	-1.	6.595208234791482e-23
-2.	0	-4.680894364592003e-16
-2.	1.	-9.884308660828194e-9
-2.	2.	0.06377551020408163265306122448979591836734693877551
-1.	-2.	6.595208234791482e-23
-1.	-1.	2.468107937693965e-15
-1.	0	9.884308660828194e-9
-1.	1.	-0.25510204081632653061224489795918367346938775510204
0	-2.	-4.680894364592003e-16
0	-1.	9.884308660828194e-9
0	0	0.38265306122448979591836734693877551020408163265306
1.	-2.	-9.884308660828194e-9
1.	-1.	-0.25510204081632653061224489795918367346938775510204
2.	-2.	0.06377551020408163265306122448979591836734693877551
