0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.0,9.481455751064436e-08,2.685218589667807e-09,9.20238882542333e-08,6.844871572126167e-09,7.622599884317236e-08,2.6146214713649137e-09,9.075881733989768e-08,1.4021640212409177e-09,6.128215324339928e-08,2.5531132425002614e-09,8.954120617499878e-08,4.254778117662315e-10,4.9268195591903375e-08,2.4962362447275513e-09,8.836219580520556e-08,1.4777736396984462e-10
0.0,2.6852185896610306e-09,1.7904708888906974e-10,2.4767407390079208e-09,2.3018138233533034e-10,2.1550538874592247e-09,1.542288504415261e-10,2.4220099239445738e-09,5.614798619886263e-11,1.7298184624698888e-09,1.389944333029651e-10,2.3752383728317227e-09,1.8216766431792597e-11,1.38864552020582e-09,1.2805020423823053e-10,2.333344422687049e-09,6.526596296272539e-12
0.0,9.202388825423319e-08,2.4767407390098274e-09,8.949147201572437e-08,6.627608257333904e-09,7.398685484946805e-08,2.429708680752833e-09,8.82950357734745e-08,1.3497800784712288e-09,5.94851830199655e-08,2.3837219018463944e-09,8.713442060522007e-08,4.084948628763508e-10,4.782591484798165e-08,2.338740861641324e-09,8.600524385206626e-08,1.416898620301336e-10
0.0,6.844871572126161e-09,2.301813823353641e-10,6.627608257333903e-09,2.2296089553483612e-10,5.502174385967397e-09,2.2608023881520234e-10,6.522232023660816e-09,2.3918602325542078e-11,4.422862995352638e-09,2.2205271189935938e-10,6.418942797539322e-09,5.666223563887263e-12,3.555271010054158e-09,2.1809745312151203e-10,6.317683801859162e-09,1.779196039691492e-12
0.0,7.622599884322673e-08,2.1550538875408575e-09,7.398685484946365e-08,5.50217438596737e-09,6.128212809442466e-08,2.0996398710885553e-09,7.297025348945557e-08,1.1269019296249297e-09,4.926815558108892e-08,2.050725613935284e-09,7.199164095189173e-08,3.4192344846156256e-10,3.960957145111348e-08,2.0053161229961933e-09,7.104396827443268e-08,1.1875247210010468e-10
0.0,2.6146214713547493e-09,1.5422885047368357e-10,2.4297086807516162e-09,2.2608023881517572e-10,2.099639871000305e-09,1.388613137145231e-10,2.3768503014827045e-09,5.513518300549269e-11,1.6861698377121242e-09,1.2786647022076963e-10,2.3314138829015823e-09,1.7886104695537273e-11,1.3541803129603375e-09,1.1931411379684254e-10,2.290598404497392e-09,6.407744611837226e-12
0.0,9.075881733989771e-08,2.422009923944441e-09,8.82950357734745e-08,6.522232023660812e-09,7.297025348945524e-08,2.376850301482969e-09,8.712432530665696e-08,1.324409554118989e-09,5.866824536207656e-08,2.332618761110122e-09,8.598654764438956e-08,4.002770543897055e-10,4.7169422718510096e-08,2.2892901799831297e-09,8.487816776272555e-08,1.3874555701494222e-10
0.0,1.402164021240926e-09,5.614798619887938e-11,1.3497800784712439e-09,2.3918602325541887e-11,1.1269019296249412e-09,5.5135183005505276e-11,1.3244095541189968e-09,8.58940347054847e-13,9.056772927263726e-10,5.414070291870673e-11,1.2995695611033167e-09,1.0220172445527788e-13,7.27881848073553e-10,5.316421341912089e-11,1.275247707653934e-09,2.5127503086860816e-14
0.0,6.128215324339928e-08,1.729818462531034e-09,5.948518301996336e-08,4.422862995352628e-09,4.9268155581099087e-08,1.6861698377503308e-09,5.8668245362076524e-08,9.056772927263664e-10,3.9609555505297586e-08,1.6472411038488459e-09,5.7881716910658526e-08,2.747773232034517e-10,3.184452688204444e-08,1.6109746350693574e-09,5.711998842720272e-08,9.542835329835983e-11
0.0,2.5531132424994135e-09,1.389944333631607e-10,2.383721901845641e-09,2.2205271189934684e-10,2.050725613745628e-09,1.2786647024493695e-10,2.33261876110995e-09,5.41407029186996e-11,1.6472411037659367e-09,1.1924715277166913e-10,2.2884586478845073e-09,1.7561456735237344e-11,1.3231779131749475e-09,1.1221113012747415e-10,2.2486827808297954e-09,6.291060440069012e-12
