0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1.2873204517515705e-06,3.136756092428712e-07,6.723425888136606e-07,3.290786787209792e-08,8.991000100787853e-07,2.9223787489086e-07,5.80002207641613e-07,8.934525291412419e-09,7.251106112046566e-07,2.589574820146064e-07,5.182988769299289e-07,3.043387961991476e-09,5.784770130789642e-07,2.3523232059470077e-07,4.7412009760200473e-07,1.1162015528333618e-09
6.938959273895383e-07,2.495233962591532e-07,2.874486177802008e-07,2.0224255457474526e-08,4.2493191255529583e-07,9.454748871744379e-08,2.627586408787068e-07,5.601814995179577e-09,3.11368035608348e-07,7.013913753075779e-08,2.448901646851948e-07,1.914294023819195e-09,2.3644418465093262e-07,6.127772626540908e-08,2.3105200760514826e-07,7.030074088801874e-10
5.675438316863299e-07,1.9395544075388468e-07,2.720986907557856e-07,4.233077893286761e-09,4.5165828909251023e-07,1.768270128237926e-07,2.1239863213210152e-07,9.985782966990518e-10,3.594670835327953e-07,1.6258718587102e-07,1.745230111760985e-07,3.3231324375375433e-10,2.86118078777033e-07,1.5037713571357707e-07,1.489614349469189e-07,1.2072437652727691e-10
2.2645874795929126e-08,1.0363447046440347e-08,5.415742059821414e-09,4.712899286577726e-12,1.7964250546189246e-08,9.68188764295266e-09,2.634733562383774e-09,5.167353721517279e-13,1.4250382597382177e-08,9.0422728451577e-09,1.3052413352840112e-09,1.7229531036334533e-13,1.130423550578015e-08,8.441966593626009e-09,6.717504510823885e-10,6.267440160161377e-14
1.0663135918748454e-06,3.4319379499996654e-07,5.334860403285638e-07,2.5956557000373445e-08,7.711523889173926e-07,2.403121803488488e-07,4.59839103780095e-07,7.044429597224668e-09,5.98281601989785e-07,2.0871699922469158e-07,4.106659385951347e-07,2.3994052423782543e-09,4.707980000100962e-07,1.885829425355886e-07,3.7548505588503205e-07,8.799894880038353e-10
4.6604145118087783e-07,2.0245911273059438e-07,2.570286825419866e-07,1.820151994457305e-08,3.5643712846863203e-07,1.0352605858847116e-07,2.3522365669843593e-07,5.042667154124378e-09,2.7544075140605034e-07,7.386638237145726e-08,2.194291280798703e-07,1.723269706631319e-09,2.1432103155801176e-07,6.082491299037395e-08,2.0716405720200654e-07,6.328629843677143e-10
4.7594904902249176e-07,1.6922632196480503e-07,2.123687596673402e-07,1.6517728949375679e-09,3.786725936145685e-07,1.558676182676667e-07,1.5918074969673038e-07,3.265669356327692e-10,3.012953491549649e-07,1.442333175757575e-07,1.2603496508080777e-07,1.0558513597538435e-10,2.397427829041232e-07,1.3394430419231874e-07,1.0412246842481756e-07,3.790563165565659e-11
6.060930135784325e-09,2.823543429954935e-09,1.3588074798070756e-09,6.353304498122085e-13,4.806756936638089e-09,2.6386498863087168e-09,6.211352312740219e-10,9.124336368126728e-17,3.812063734911995e-09,2.464502650439091e-09,2.8001782744102153e-10,9.050173368202495e-18,3.023175005923696e-09,2.3006398540436083e-09,1.2505285252201948e-10,3.2138717421389863e-18
8.179620401772859e-07,2.8269648957645243e-07,4.233489376042059e-07,2.0473722690997206e-08,6.182124453516029e-07,1.9515025382406132e-07,3.6460455540796535e-07,5.554169579796464e-09,4.807805667445905e-07,1.6777083706316215e-07,3.254119798511425e-07,1.891682516462716e-09,3.778620007948484e-07,1.5103569183292124e-07,2.97392822019752e-07,6.937619347856399e-10
3.853934495774785e-07,1.5107994031394016e-07,2.308483137781665e-07,1.638361468829887e-08,3.0137116366034274e-07,9.01716861590704e-08,2.1140405461069259e-07,4.539015601262789e-09,2.3643450834090368e-07,6.68140378779056e-08,1.9729349984963964e-07,1.5511409081405255e-09,1.8598700064294974e-07,5.524025395090606e-08,1.8631723617374382e-07,5.696475004520296e-10
4.1820964219957124e-07,1.5329913686871905e-07,1.763128430696332e-07,7.17023528515387e-10,3.3264426993779334e-07,1.4184045054838406e-07,1.2782592051426112e-07,1.0472879408032018e-10,2.645973580600735e-07,1.3165524958408864e-07,9.806859810132388e-08,3.214078481421656e-11,2.104796260991115e-07,1.2251234671864826e-07,7.874224730772539e-08,1.1289717865323956e-11
2.0600382982594674e-09,9.622143253871535e-10,4.5771079547018253e-10,2.137029865978506e-13,1.6336969032932408e-09,8.991860128809303e-10,2.0771400624469083e-10,2.0626159404480253e-17,1.295575059746367e-09,8.398070273249255e-10,9.27720334345015e-11,2.3215158944971365e-21,1.027421408836592e-09,7.83923315275275e-10,4.094772590530145e-11,1.3625222528753845e-22
6.389968924784333e-07,2.2621419417109124e-07,3.3598248141974243e-07,1.6149127423970287e-08,4.910943096787997e-07,1.5739347906556266e-07,2.8911983651529665e-07,4.379165768870878e-09,3.834238270694578e-07,1.345954038694166e-07,2.578781665637908e-07,1.4913900824916017e-09,3.0161955450304296e-07,1.2087175537940753e-07,2.3556005090865798e-07,5.46942363421069e-10
3.32880222621021e-07,1.1899098794333386e-07,2.0819171449724266e-07,1.4749551448776307e-08,2.6226102602003316e-07,7.750999972178525e-08,1.9068212653990478e-07,4.085375470476995e-09,2.0698871515882588e-07,5.927496397219976e-08,1.7795667944475374e-07,1.396051433303368e-09,1.6361700667407096e-07,4.9514291302193654e-08,1.6804953529465958e-07,5.126819538659216e-10
3.776907910460198e-07,1.417344467897727e-07,1.5207234269479514e-07,3.608191352705673e-10,3.003458645285436e-07,1.3147215443081957e-07,1.0720935304243954e-07,3.280874801301128e-11,2.3884874205673325e-07,1.2224516072864156e-07,8.004183897955335e-08,9.129165916116676e-12,1.899503329656669e-07,1.138893928933413e-07,6.267133745278658e-08,3.07007216054622e-12
7.548629700112863e-10,3.529572095290194e-10,1.6712195586540477e-10,7.800482161036094e-14,5.986287860695451e-10,3.298337677134498e-10,7.562933627386484e-11,7.482245811910487e-18,4.747247704557486e-10,3.0804719917719215e-10,3.366090914258329e-11,6.859960253436936e-22,3.764619155139953e-10,2.8754145950770807e-10,1.4794755239508333e-11,-1.6509855253995159e-24
