0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
7.071382016485658e-09,3.816232305509624e-09,2.6038976672846556e-08,-5.1328922070444876e-11,2.3663291089934797e-08,3.0396597065509314e-09,2.4069716401577654e-08,-3.9839907689036816e-11,1.8892578334509524e-08,2.7839518601222214e-09,2.1974043549178453e-08,-1.4668541526447692e-11,1.5109831673396834e-08,2.6533864539445652e-09,1.9896862924766238e-08,-5.537511196112922e-12
4.461675942075566e-09,6.176738262249175e-09,7.716964079926814e-09,8.258413783652426e-10,1.1483681585191564e-08,-2.6176664008122102e-08,8.330301328942349e-09,2.3058320194624186e-10,-1.7366068984854717e-09,-2.006545830249821e-08,8.342500264030543e-09,7.88686182889217e-11,-5.091614629400146e-09,-1.4621013910711326e-08,8.194460495449385e-09,2.897440766324843e-11
1.2743366274218722e-08,7.601249998210226e-09,4.49086971625725e-08,-2.235654929495704e-10,4.2611201829886385e-08,6.884353573040292e-09,4.1266240680561e-08,-1.3034798232105284e-10,3.4127436477874686e-08,6.37084520095515e-09,3.766900699953835e-08,-4.835747081600719e-11,2.7334767893055968e-08,5.983690284062818e-09,3.424363022055663e-08,-1.8325585176344522e-11
8.916147152562867e-10,2.651800244502571e-10,3.5963763704304484e-09,3.3711774210302834e-12,3.033049811349489e-09,2.7125368709584504e-10,3.3335308832725717e-09,-4.952584768292602e-13,2.4356344159673134e-09,2.7669342358835477e-10,3.0273252385538435e-09,-1.772791006861844e-13,1.9558489553267517e-09,2.8142991338866205e-10,2.708539078406978e-09,-6.597338306922513e-14
1.728319905711116e-08,1.0074171013997775e-08,4.71923898742713e-08,1.0650666984564244e-09,4.6963721395186335e-08,-3.909796367166377e-09,4.438274479551572e-08,2.4867123492379594e-10,3.11388737620047e-08,-1.705732426498833e-09,4.132720808895295e-08,8.24817040137583e-11,2.3384873618079237e-08,-2.1265932808559644e-10,3.83362251965601e-08,2.992258468666613e-11
4.86422993969276e-09,3.3723445740804444e-08,7.759920943205266e-09,7.800641173336392e-10,2.1940551710624204e-08,2.7453963508341874e-09,8.034139428694074e-09,2.1770298957625901e-10,1.4050769283989005e-08,-3.117893607497983e-09,7.960885861012545e-09,7.446470240662618e-11,9.17913721178775e-09,-4.0837831955843866e-09,7.786795178751229e-09,2.7356786856741556e-11
1.0511997074007407e-08,5.795148706557459e-09,4.111320897325359e-08,-5.720920513430175e-10,3.8156381930508805e-08,5.513029138302977e-09,3.768408642336885e-08,-2.2941465773461743e-10,3.058808625190849e-08,5.285728537473154e-09,3.425255862257099e-08,-8.240729443287874e-11,2.4521397297356636e-08,5.0978296708397045e-09,3.096637586115002e-08,-3.086099320233968e-11
2.3766808671350285e-10,6.924660341753267e-11,9.74718567698652e-10,1.2150841207266766e-12,8.168996132217983e-10,7.11881838111916e-11,9.037045298371476e-10,4.2675374718785937e-16,6.560447478788335e-10,7.289246522873476e-11,8.195771152200962e-10,-1.9742669868687273e-16,5.268506284853096e-10,7.437436738892306e-11,7.311707984035688e-10,-7.330124565105598e-17
1.3892438136030821e-08,1.853419847965324e-08,3.78345305847297e-08,8.408788551975391e-10,4.3826189981906356e-08,2.375143871304156e-10,3.555273092729525e-08,1.955869040727325e-10,2.9940602127384466e-08,3.363211557470816e-11,3.309187375604965e-08,6.482763796410824e-11,2.2068696251079326e-08,5.966605597979333e-10,3.0687375816235953e-08,2.351100052078998e-11
4.78894970437651e-09,2.5674713040132938e-08,7.649958815842242e-09,7.364217419965002e-10,1.7947302361398603e-08,7.511973312494227e-09,7.718271957124407e-09,2.0546285342038885e-10,1.2892950986469564e-08,1.8285866184260238e-09,7.587461811183203e-09,7.027876117992284e-11,9.335500192565831e-09,-1.6809794501106118e-10,7.396200252697377e-09,2.5819098737068853e-11
9.185100857651701e-09,4.933356585452964e-09,3.860224310253236e-08,-7.531377394166909e-10,3.5369295973628376e-08,4.791033131223281e-09,3.534460644697442e-08,-2.798920794075903e-10,2.8364592389667404e-08,4.669174326682436e-09,3.2048881998877615e-08,-9.969447664040904e-11,2.2747177917392502e-08,4.56257894558341e-09,2.887667274406411e-08,-3.7215899233714705e-11
8.041938159765563e-11,2.3377817960295345e-11,3.309867503815996e-10,4.0812023072609747e-13,2.770707719990492e-10,2.4046107284581572e-11,3.0689000707179997e-10,3.2179365864387926e-16,2.2251522458074082e-10,2.4633651994837806e-11,2.782412496761555e-10,7.064924551322232e-20,1.7869727740572399e-10,2.5145498046772282e-11,2.4807292105407794e-10,-5.618954792941815e-20
1.1141239838849445e-08,1.8249165943579916e-08,3.033121902827352e-08,6.637858964433365e-10,3.649900130657475e-08,2.155069434362857e-09,2.847976530464859e-08,1.537958847817548e-10,2.5790624720108986e-08,9.575713104528283e-10,2.6498164974367532e-08,5.09380816557099e-11,1.9132355014526727e-08,1.0133986670858517e-09,2.4565247937537595e-08,1.846793001949698e-11
4.615023779174877e-09,1.915476171383836e-08,7.456681098259825e-09,6.949203473035807e-10,1.52143762256476e-08,7.784584523387415e-09,7.394532815480921e-09,1.938328994749335e-10,1.1367004074411593e-08,3.3243611160214874e-09,7.225021607259814e-09,6.630067938727237e-11,8.530313299529652e-09,1.384160781898581e-09,7.0230006125363255e-09,2.4357643630212336e-11
8.422412866326052e-09,4.41424855875208e-09,3.688820893037632e-08,-8.248207081311555e-10,3.3492320355914935e-08,4.335355026479623e-09,3.3771525585061734e-08,-2.9825559186315584e-10,2.6865260729300218e-08,4.264358520931019e-09,3.0590245632725876e-08,-1.0586667668502268e-10,2.1549365734299814e-08,4.199074707940463e-09,2.751484822824584e-08,-3.9466722373127347e-11
2.941298828513931e-11,8.540601638644988e-12,1.2122333183681534e-10,1.4880215871220083e-13,1.014263472579389e-10,8.786706192700255e-12,1.1240170039956646e-10,1.1635120500942577e-16,8.145572832835087e-11,9.003215425091405e-12,1.0189770465236277e-10,7.93828943440879e-20,6.541564595696137e-11,9.191974233126907e-12,9.082677795604136e-11,1.2924843437509255e-23
