0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1.790313122500785e-08,-3.168585136029698e-08,1.435691270358752e-08,6.496644608902668e-10,-7.239722094390388e-09,-6.521353159739951e-09,1.4553331304618308e-08,1.3473646320736495e-10,-1.8712276118795085e-10,-3.54291783025215e-09,1.4558605103551923e-08,4.299823329776699e-11,1.5525225408920002e-09,-2.3437882164139365e-09,1.4473542551743968e-08,1.5339666743376744e-11
3.519205072343714e-08,8.540300910041265e-10,-4.5100421225888274e-10,1.222707459569383e-10,-5.250444133284016e-11,-1.1929416934023046e-08,1.6067355463849296e-10,3.5056472874496854e-11,-4.293759516341145e-09,-9.402561336498811e-09,4.2033951827224816e-10,1.2024808966550992e-11,-4.885378528395089e-09,-7.088766367916824e-09,5.558890218818053e-10,4.422306484732643e-12
1.7241128543363327e-08,2.273897075076376e-09,1.4688873012706119e-08,4.73276001778113e-10,1.3810393048892157e-08,1.9811034854668415e-09,1.4302101421532683e-08,8.382225958337928e-11,1.1063492998275096e-08,1.7549055023306437e-09,1.4010221986428854e-08,2.5497747168180334e-11,8.863837377856001e-09,1.5733775890638169e-09,1.3752125528168618e-08,8.897789635718467e-12
1.4832710574992723e-09,4.176153966707547e-11,1.4750791476769772e-09,1.0074367142169766e-11,1.1925026840110781e-09,4.1365160535180886e-11,1.4659869056870134e-09,-8.634496676751599e-13,9.587345843558833e-10,4.103820304376508e-11,1.4538184694949895e-09,-3.662112874743512e-13,7.70791601379253e-10,4.0737194968157627e-11,1.4389207175453415e-09,-1.4087466170469437e-13
3.571247159800395e-08,2.7377939242935467e-09,1.157078423093255e-08,5.198427224657591e-10,1.139242071014103e-08,-2.782487001081553e-09,1.170877878162778e-08,1.0757846564767853e-10,6.606157644951493e-09,-1.9738790542659593e-09,1.170556790570139e-08,3.431140975586998e-11,4.6811249817288285e-09,-1.4208709295413694e-09,1.1633398681378644e-08,1.2237479786689656e-11
9.323956664763458e-09,1.2931658295222087e-08,-2.1422699570504734e-10,1.1906547280469718e-10,4.9970993606536225e-09,3.556015702185718e-10,2.4060800236215925e-10,3.408082909663008e-11,2.619801027830881e-09,-2.1276403405875495e-09,4.530246913838324e-10,1.1690128832865007e-11,1.277036817376223e-09,-2.5385255313563323e-09,5.680467264826527e-10,4.299225030420923e-12
1.59927067904944e-08,1.5434395002302594e-09,1.418670333695021e-08,3.9781046465485413e-10,1.2828925417772837e-08,1.4163827410526963e-09,1.3820558921823822e-08,6.204796287336263e-11,1.0291436089636298e-08,1.3072573206621287e-09,1.3531109013416531e-08,1.799913373944221e-11,8.256170100297597e-09,1.2125307541392639e-09,1.3272021651594942e-08,6.135189127450618e-12
4.009405804491894e-10,1.0362421508605615e-11,4.0055490022425506e-10,2.9959358839133912e-12,3.223694497782394e-10,1.0342153709206179e-11,3.9872321919847555e-10,1.0166352007713731e-14,2.5919473944839407e-10,1.0317681467091613e-11,3.959617218461534e-10,-2.505643019970205e-15,2.0839962630257494e-10,1.0289201687043434e-11,3.9237927778571127e-10,-9.9451354263842e-16
2.2972292207921498e-08,6.376114081000934e-09,9.324086070002752e-09,4.1595726642395875e-10,1.164730526625633e-08,-8.67449784373094e-10,9.419836986415476e-09,8.589241162408826e-11,7.315509587655527e-09,-1.0043100425534925e-09,9.41146298132476e-09,2.737870243346937e-11,5.108123340925776e-09,-8.160629941779082e-10,9.350483260833486e-09,9.76231949695649e-12
6.047805076003535e-09,1.0121035603465536e-08,-4.086869553596068e-11,1.1587262436692956e-10,3.965373093304861e-09,2.6817699658744553e-09,3.0455110702226966e-10,3.313135662286871e-11,2.5884883971393844e-09,2.2612322957220096e-10,4.792110637500339e-10,1.136440062482784e-11,1.6764188040139724e-09,-6.668771833431062e-10,5.769204035118683e-10,4.1794314331285125e-12
1.507026211364907e-08,1.2032653572152114e-09,1.3673127737894483e-08,3.3005114052116455e-10,1.2096135459804792e-08,1.127988682983314e-09,1.3336759358271294e-08,4.246005878067429e-11,9.709179568740834e-09,1.0607193383331107e-09,1.3060313283729054e-08,1.1246394040062385e-11,7.793423507555448e-09,1.0003198007669669e-09,1.280865829065922e-08,3.646161675173853e-12
1.3503899120287778e-10,3.4521383199089676e-12,1.3501407925383962e-10,9.851678260951878e-13,1.0857672047582958e-10,3.4468897445137475e-12,1.3444363122208413e-10,5.022742708100026e-15,8.7299683111603e-11,3.4401818911209446e-12,1.33555254338586e-10,1.1783195637495872e-17,7.019190569349869e-11,3.432082076666264e-12,1.3238526452368947e-10,-4.70277165585512e-18
1.670136873810628e-08,6.509990490443816e-09,7.512689961572772e-09,3.328286988739958e-10,9.950042268412618e-09,1.1109602905050135e-10,7.578065994706386e-09,6.85761954907161e-11,6.623303797023705e-09,-4.156300120005276e-10,7.566829505515284e-09,2.1846071710829486e-11,4.70431686308689e-09,-4.2574732520214234e-10,7.515489970055865e-09,7.787513889133893e-12
