0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
3.5092169927243424e-06,2.461444040611093e-06,3.6576896568880733e-07,1.429025907533886e-08,1.9767392988316763e-06,2.37961094583175e-06,2.8320792206922486e-07,3.8650093238110555e-09,1.7111068139075565e-06,1.702387827664914e-06,2.431883499725569e-07,1.3176273710935872e-09,1.3778062785870852e-06,1.2019731388293548e-06,2.180936864420045e-07,4.836511504350871e-10
3.6448573555367542e-06,2.2436418114498746e-06,5.02363452948206e-07,2.3174966321117896e-08,1.990522629933552e-06,1.3797603085956466e-06,4.1167616148812734e-07,6.312253697792229e-09,1.4506431836293639e-06,9.897144670380336e-07,3.620328612062362e-07,2.1533910573786157e-09,1.1008306995333116e-06,7.41742356578277e-07,3.291991495998047e-07,7.906007398085835e-10
9.003903499094897e-07,1.1937813178661956e-06,4.3387646266478156e-09,-7.454618623212624e-11,7.053830870703601e-07,9.445842261415491e-07,-1.9634672691748184e-10,-2.3054493494755972e-11,5.503475238849355e-07,6.414938722526589e-07,-6.857035626275474e-10,-7.878420792701833e-12,4.278622403428919e-07,4.1069030355883504e-07,-7.731115379604318e-10,-2.893058358555573e-12
4.7564794444000586e-08,6.619278955465158e-08,1.304201118008658e-10,1.9185784497839928e-13,3.7331494060317505e-08,5.286853131026751e-08,3.6923264240725805e-12,-4.48515626946163e-14,2.9165362704658656e-08,3.4929586294082067e-08,-1.2306094639947859e-12,-1.5345285464974575e-14,2.2693872847857124e-08,2.1112111771551684e-08,-1.4422794016425491e-12,-5.637255922586117e-15
3.1297067131574397e-06,2.6363598147026164e-06,2.343757889971042e-07,7.960198206400333e-09,1.923564238090646e-06,1.8752434440505635e-06,1.7576445406986443e-07,2.135280311581515e-09,1.4341302530396317e-06,1.321246854868274e-06,1.483557547572745e-07,7.273211823134164e-10,1.1016053216692432e-06,9.258176755537782e-07,1.3155238388881655e-07,2.6692192908417154e-10
1.2800200289502467e-06,1.4508391627539166e-06,-3.137678567302908e-08,-1.0888782608763786e-08,9.385833253315113e-07,9.412872341971667e-07,-6.166039854366799e-08,-3.1006132944841545e-09,7.015805279744764e-07,6.517834168843977e-07,-7.237604312742929e-08,-1.0630992504938503e-09,5.293607785662137e-07,4.6827917347134395e-07,-7.685271391779021e-08,-3.907789092735986e-10
7.636449802396683e-07,1.0258404359261035e-06,3.3170565279119167e-09,3.054820962831327e-12,5.985577313570509e-07,8.140792292934162e-07,2.335213876586393e-10,-9.588565295887657e-13,4.6716973530754375e-07,5.49539555373316e-07,3.4600160615662805e-12,-3.2714174192338907e-13,3.632780680922582e-07,3.472987625632479e-07,-2.5777521427254487e-11,-1.2005196631862033e-13
1.3031206739369882e-08,1.816736126381312e-08,3.5241634193087315e-11,9.579091501493744e-14,1.0228702663313754e-08,1.4517536409962e-08,1.288932662180499e-12,1.54459590507208e-19,7.991867014499646e-09,9.580142057610633e-09,4.3797274236633027e-14,-1.036735223780829e-19,6.218933574873778e-09,5.7754324291620524e-09,1.414762162251769e-15,-3.806825486368677e-20
2.151169264283952e-06,2.0953837758690782e-06,1.477767654194922e-07,4.0002282519337136e-09,1.490781224353326e-06,1.469644186862401e-06,1.0596528925957187e-07,1.0557340386666513e-09,1.114003933339243e-06,1.0276771862232706e-06,8.71808960412911e-08,3.589879984968536e-10,8.506573481611006e-07,7.158102990662233e-07,7.597003951228409e-08,1.3169524456498373e-10
8.043061042984605e-07,1.0733773087935716e-06,-1.2074086429246202e-07,-1.5109104394241387e-08,6.068222855377e-07,7.380772188533265e-07,-1.3621487276486357e-07,-4.248768740270988e-09,4.5925838651236845e-07,5.131189950593193e-07,-1.3841176719725156e-07,-1.4547288275010042e-09,3.480904186510137e-07,3.6527207913932163e-07,-1.3710714511323063e-07,-5.345756399925695e-10
