0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1.5231934533528516e-08,-2.8527912806318033e-08,1.2103591152984089e-08,6.019353300281967e-10,-7.170271558790131e-09,-5.9250231685070926e-09,1.2315635568197035e-08,1.2321884232590048e-10,-7.045161652414339e-10,-3.2489551435568913e-09,1.2360761126805061e-08,3.908499811479394e-11,9.639261307008672e-10,-2.171635113274855e-09,1.2327451340218139e-08,1.3910204130130033e-11
3.130630832565498e-08,6.857955076218503e-10,-5.897113287906528e-10,9.809382191011747e-11,-2.82446013626092e-10,-1.0807305340987188e-08,-2.3924006513812083e-11,2.8276346388916157e-11,-4.045440693046555e-09,-8.52849096987116e-09,2.2039815403985583e-10,9.7060238334282e-12,-4.539762597446798e-09,-6.4388332933895535e-09,3.5066309538170285e-10,3.5708303924688387e-12
1.5050219004386115e-08,2.0189752229619036e-09,1.2718387780193527e-08,4.674953822511567e-10,1.205449592450019e-08,1.757579106626509e-09,1.238038724001929e-08,8.427898387979476e-11,9.656108278682322e-09,1.5548367867034925e-09,1.2138969828618134e-08,2.5698199317118842e-11,7.735696738142157e-09,1.3915478220283176e-09,1.1934919931171514e-08,8.981976462033164e-12
1.3329504997661025e-09,3.408077533913882e-11,1.3240646464747679e-09,1.1266219225177745e-11,1.0717283733699627e-09,3.36870075225564e-11,1.3166379308550611e-09,-8.771789100958148e-13,8.616996443688739e-10,3.335935789945542e-11,1.3072361631048408e-09,-3.895277758698929e-13,6.928304106877822e-10,3.305887203656812e-11,1.2960331765382343e-09,-1.5103392143626344e-13
3.1411155674773705e-08,2.4086752930738142e-09,9.76015577761318e-09,4.820165351457082e-10,9.702514937098491e-09,-2.5504535637431306e-09,9.912403419722768e-09,9.847358045205441e-11,5.5080850161145795e-09,-1.8245657335667315e-09,9.941763946988789e-09,3.121829206350156e-11,3.862822535715413e-09,-1.3281266097371477e-09,9.911417630069474e-09,1.1107704159829951e-11
8.139481510031931e-09,1.1610109765968673e-08,-3.711738221913794e-10,9.569178620659833e-11,4.299855606119951e-09,2.8438918533233023e-10,5.332857014057593e-11,2.7532121776512993e-11,2.201321530085693e-09,-1.957696750929442e-09,2.5503296304610176e-10,9.450533144086663e-12,1.024611942553795e-09,-2.32884914010931e-09,3.666955903991378e-10,3.4768377993500952e-12
1.4016493439662622e-08,1.3603602983550762e-09,1.2362656746036212e-08,4.084620868416454e-10,1.1243442260464192e-08,1.247166118334443e-09,1.2040752589891514e-08,6.722978183666753e-11,9.019387176478518e-09,1.1495730948623845e-09,1.1798265381408847e-08,1.982705048459695e-11,7.2355600002307914e-09,1.064565087614653e-09,1.1590025230363406e-08,6.81887045784314e-12
3.611259659116753e-10,8.385541071423248e-12,3.6028596047860546e-10,3.300834651152586e-12,2.9037875692354794e-10,8.355771854614223e-12,3.588092947701181e-10,1.4525075819707524e-14,2.334907698326075e-10,8.323446713348542e-12,3.5671952385099395e-10,-3.2267704769846298e-15,1.8774714728395297e-10,8.288688535469917e-12,3.5407875236005387e-10,-1.3075820344600092e-15
2.0109782972524415e-08,5.693278230637939e-09,7.869287677520516e-09,3.8598371731004295e-10,1.0042154216744013e-08,-8.174182352044604e-10,7.977770936630047e-09,7.869628664325016e-11,6.233730408481005e-09,-9.417795811716474e-10,7.99599069462135e-09,2.4934326145056164e-11,4.317185281547909e-09,-7.733921490592655e-10,7.968800280196797e-09,8.86958657237698e-12
5.226056539009457e-09,9.102556984891797e-09,-2.089028311002449e-10,9.328480263122383e-11,3.3962151232112904e-09,2.4000073115707933e-09,1.1641806668028658e-10,2.6806882984868152e-11,2.1918039371409184e-09,1.8023030878298182e-10,2.8384216796449305e-10,9.201543092906493e-12,1.3984414006565982e-09,-6.287857987825222e-10,3.7971135361861795e-10,3.385233759103734e-12
1.3252603521101553e-08,1.0536159373159363e-09,1.197224547997666e-08,3.545530487502454e-10,1.0637278394470212e-08,9.865228668496055e-10,1.1676426387608919e-08,5.1641742482624964e-11,8.538276832271077e-09,9.263682143973476e-10,1.14440101218845e-08,1.4453929395479057e-11,6.8536216319522846e-09,8.721959188874904e-10,1.1240509475281516e-08,4.838352136915282e-12
1.2150418440925136e-10,2.786556759383592e-12,1.2130935152325555e-10,1.0823158899448478e-12,9.77014681202454e-11,2.7778793978937513e-12,1.2085210310164776e-10,6.797890572719721e-15,7.856148217943176e-11,2.7683059987738494e-12,1.2018526616966255e-10,2.1284225716992375e-17,6.317088704550683e-11,2.757878786729269e-12,1.193295114763179e-10,-7.491167650871336e-18
1.4586622354022293e-08,5.8247184111007676e-09,6.34387396599164e-09,3.0908103607043054e-10,8.60474514033469e-09,7.139684873485642e-11,6.4204470260558e-09,6.28898541207172e-11,5.681845857794399e-09,-4.0373171356608334e-10,6.430903094087591e-09,1.991477846829599e-11,4.010534165254195e-09,-4.137824791066599e-10,6.406855482772062e-09,7.0822393219298504e-12
3.996696793703503e-09,6.8874292629147075e-09,-8.401492468019328e-11,9.091010379170233e-11,2.7828812894919833e-09,2.6913260692416335e-09,1.682529509313051e-10,2.610015632692722e-11,1.9333461469987358e-09,9.331894868227333e-10,3.0772017832279435e-10,8.958892143196048e-12,1.3389529033410978e-09,1.3122326895940863e-10,3.90108618676746e-10,3.2959590441600236e-12
1.2635044256400587e-08,8.755340208657552e-10,1.1591696302294116e-08,3.0539472069166015e-10,1.0145079638671297e-08,8.292861826423376e-10,1.1320765996250662e-08,3.741004441017873e-11,8.145939967787098e-09,7.870021468944378e-10,1.1100678058758285e-08,9.544241844309829e-12,6.540845359038308e-09,7.482398167591336e-10,1.0904526491648292e-08,3.027918593549331e-12
